               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.023834,            0.011616,           0.0031617,             0.46507,             0.66087,             0.44672,             0.26782,            0.024713,            0.004625,              0.1339,            0.001981,            0.001981,            0.001981
                  83,            0.023296,            0.012202,            0.002946,             0.49407,             0.69264,             0.45901,             0.27358,            0.023882,           0.0045713,              0.1345,            0.001882,            0.001882,            0.001882
                  84,            0.023221,            0.012248,           0.0027809,              0.4885,             0.64947,             0.42778,             0.26528,            0.023829,           0.0045365,             0.13912,            0.001783,            0.001783,            0.001783
                  85,             0.02444,            0.012086,           0.0027018,             0.46737,             0.59819,             0.40114,             0.25247,            0.024381,           0.0046061,             0.14017,            0.001684,            0.001684,            0.001684
                  86,            0.023854,            0.011959,           0.0031687,             0.46687,             0.59009,             0.40467,             0.25031,            0.025728,           0.0046689,             0.13831,            0.001585,            0.001585,            0.001585
                  87,            0.023955,            0.012369,           0.0022072,             0.46643,             0.56023,             0.41017,             0.26104,            0.024859,           0.0048227,             0.13763,            0.001486,            0.001486,            0.001486
                  88,            0.024067,            0.011685,           0.0035433,             0.46256,             0.53753,             0.39673,             0.25311,            0.024846,           0.0048793,             0.13751,            0.001387,            0.001387,            0.001387
                  89,            0.018711,            0.010883,            0.003121,             0.50071,             0.58198,             0.42888,             0.26556,            0.023869,           0.0048075,             0.13904,            0.001288,            0.001288,            0.001288
                  90,            0.021068,            0.011372,           0.0023145,             0.50851,              0.5677,             0.41625,             0.26916,            0.023213,           0.0047863,             0.14039,            0.001189,            0.001189,            0.001189
                  91,            0.024358,             0.01152,           0.0033597,             0.48451,             0.52388,             0.40247,             0.25061,             0.02349,           0.0047735,             0.14012,             0.00109,             0.00109,             0.00109
                  92,              0.0222,            0.011705,           0.0029186,             0.44709,              0.4564,             0.38348,             0.24181,            0.023501,           0.0047784,             0.13908,            0.000991,            0.000991,            0.000991
                  93,            0.021822,            0.011848,           0.0022183,             0.45542,             0.42719,             0.37044,             0.23748,            0.024498,           0.0046678,             0.13885,            0.000892,            0.000892,            0.000892
                  94,            0.021158,            0.011476,           0.0025628,             0.45155,             0.42719,             0.36886,                0.24,            0.025137,           0.0046074,             0.13962,            0.000793,            0.000793,            0.000793
                  95,            0.021723,            0.011726,           0.0023003,             0.44258,              0.4129,             0.35558,              0.2302,            0.025248,           0.0046485,             0.14073,            0.000694,            0.000694,            0.000694
                  96,            0.022521,            0.011296,           0.0026436,             0.43616,             0.39147,             0.34481,             0.22331,            0.025118,           0.0046776,             0.14106,            0.000595,            0.000595,            0.000595
                  97,            0.020668,            0.011307,           0.0024288,             0.43773,             0.37719,             0.33619,              0.2228,            0.024314,           0.0046383,             0.14302,            0.000496,            0.000496,            0.000496
                  98,            0.022491,            0.010852,           0.0028525,             0.44698,             0.37719,             0.33781,             0.22468,            0.024264,           0.0046063,             0.14398,            0.000397,            0.000397,            0.000397
                  99,            0.024108,            0.011389,           0.0020345,             0.43517,             0.37004,             0.33267,              0.2224,            0.023835,           0.0046032,             0.14415,            0.000298,            0.000298,            0.000298
